date,author,title,format,url,tags,raw
"2026-02-14","ismosis (@ccphusrox)","Grandpa's journal (thread)","other","https://x.com/ccphusrox/status/2022900478330442182","memoir;family-history;south-asia","Grandpa's journal: https://x.com/ccphusrox/status/2022900478330442182 (inspired this)"
"2026-02-14","Sheldon Pollock","The Death of Sanskrit","essay","http://www.columbia.edu/itc/mealac/pollock/sks/papers/death_of_sanskrit.pdf","sanskrit;linguistics;south-asian-history","Pollock's amazing paper, The Death of Sanskrit"
"2026-02-14","Paul Graham","Taste for Makers","essay","http://www.paulgraham.com/taste.html","taste;design;creativity","Taste for Makers, Paul Graham"
"2026-02-14","Henry Oliver","How to have good taste","essay","https://www.commonreader.co.uk/p/how-to-have-good-taste","taste;criticism;culture","How to have good taste, Henry Oliver"
"2026-02-15","Andrew Gelman","What to do in 2026? Your statistics diary","essay","https://statmodeling.stat.columbia.edu/2026/02/14/what-to-do-in-2026-your-statistics-diary/","statistics;academia","https://statmodeling.stat.columbia.edu/2026/02/14/what-to-do-in-2026-your-statistics-diary/"
"2026-02-15","American Historical Association","How Did the Idea of Lend-Lease Get Started? And Why?","essay","https://www.historians.org/resource/how-did-the-idea-of-lend-lease-get-started-and-why/","wwii;us-history;diplomacy","How did the idea of lend lease get started and why? (US memo from 1945)"
"2026-02-15","Tim Bouverie","The aristocratic ambassadors who won America over","essay","https://engelsbergideas.com/essays/the-aristocratic-ambassadors-who-won-america-over/","wwii;diplomacy;us-history","The aristocratic ambassadors who won America over by Tim Bouverie"
"2026-02-15","Sumantra Maitra","Edward Gibbon's empire","essay","https://engelsbergideas.com/essays/edward-gibbons-empire/","roman-history;historiography","Edward Gibbon's Empire by Sumantra Maitra"
"2026-02-15","Daniel Crouch Rare Books","The Darien Scheme","essay","https://crouchrarebooks.com/featured_items/the-darien-scheme/","scottish-history;colonialism;economic-history","The Darien Scheme, Crouch Rare Books"
"2026-02-15","David Krakauer","The Complex World: An Introduction to the Foundations of Complexity Science","essay","https://www.sfipress.org/books/the-complex-world","complexity-science;systems-theory","Intro to Foundational Papers in Complexity Science, David Krakauer"
"2026-02-15","Dave Donaldson","Railroads of the Raj: Estimating the Impact of Transportation Infrastructure","essay","https://www.aeaweb.org/articles?id=10.1257/aer.20101199","economic-history;south-asian-history;infrastructure","Railroads of the Raj: Estimating the Impact of Transportation Infrastructure, Dave Donaldson"
"2026-02-16","Cosma Shalizi","The Professoriate Considered as a Super-Critical Branching Process","essay","http://bactra.org/weblog/professoriate-considered-as-a-supercritical-branching-process.html","academia;statistics","The Professoriate Considered as a Super-Critical Branching Process, Cosma Shalizi"
"2026-02-16","T. Rayne","Scent, In Silico","essay","https://www.asimov.press/p/scent","biology;science;olfaction","Rayne, T. ""Scent, In Silico."" Asimov Press (2026). DOI: 10.62211/28jw-12ty"
"2026-02-16","Kamil Kazani","Why people don't care about Iran","essay","https://kamilkazani.substack.com/p/why-people-dont-care-about-iran","iran;geopolitics","Why people don't care about Iran, Kamil Kazani"
